"","Host","Synonym"
"1","arvicola scherman","arvicola scherman"
"2","arvicola scherman","arvicola argentoratensis"
"3","arvicola scherman","arvicola monticola"
"4","arvicola scherman","spalax minor"
"5","arvicola scherman","mus schermaus"
"6","arvicola scherman","mus amphibius albus"
"7","arvicola scherman","lemmus arvalis buffonii"
"8","arvicola scherman","mus amphibius canus"
"9","arvicola scherman","arvicola terrestris castaneus"
"10","arvicola scherman","arvicola scherman exitus"
"11","arvicola scherman","arvicola terrestris niger"
