"","Host","Synonym"
"1","cricetomys ansorgei","cricetomys ansorgei"
"2","cricetomys ansorgei","cricetomys gambianus adventor"
"3","cricetomys ansorgei","cricetomys gambianus cunctator"
"4","cricetomys ansorgei","cricetomys gambianus elgonis"
"5","cricetomys ansorgei","cricetomys gambianus enguvi"
"6","cricetomys ansorgei","cricetomys gambianus haagneri"
"7","cricetomys ansorgei","cricetomys gambianus kenyensis"
"8","cricetomys ansorgei","cricetomys gambianus osgoodi"
"9","cricetomys ansorgei","cricetomys gambianus raineyi"
"10","cricetomys ansorgei","cricetomys gambianus selindensis"
